plate	round	well	tile	z	channel
1	1	A1	0	0	405_nm
1	1	A1	0	0	488_nm
1	1	A1	0	0	561_nm
1	1	A1	0	0	638_nm
1	1	A1	1	0	405_nm
1	1	A1	1	0	488_nm
1	1	A1	1	0	561_nm
1	1	A1	1	0	638_nm
1	1	A1	2	0	405_nm
1	1	A1	2	0	488_nm
1	1	A1	2	0	561_nm
1	1	A1	2	0	638_nm
1	1	A1	3	0	405_nm
1	1	A1	3	0	488_nm
1	1	A1	3	0	561_nm
1	1	A1	3	0	638_nm
1	1	A1	4	0	405_nm
1	1	A1	4	0	488_nm
1	1	A1	4	0	561_nm
1	1	A1	4	0	638_nm
1	1	A1	5	0	405_nm
1	1	A1	5	0	488_nm
1	1	A1	5	0	561_nm
1	1	A1	5	0	638_nm
1	1	A1	6	0	405_nm
1	1	A1	6	0	488_nm
1	1	A1	6	0	561_nm
1	1	A1	6	0	638_nm
1	1	A1	7	0	405_nm
1	1	A1	7	0	488_nm
1	1	A1	7	0	561_nm
1	1	A1	7	0	638_nm
1	1	A1	8	0	405_nm
1	1	A1	8	0	488_nm
1	1	A1	8	0	561_nm
1	1	A1	8	0	638_nm
1	1	A1	9	0	405_nm
1	1	A1	9	0	488_nm
1	1	A1	9	0	561_nm
1	1	A1	9	0	638_nm
1	1	A1	10	0	405_nm
1	1	A1	10	0	488_nm
1	1	A1	10	0	561_nm
1	1	A1	10	0	638_nm
1	1	A1	11	0	405_nm
1	1	A1	11	0	488_nm
1	1	A1	11	0	561_nm
1	1	A1	11	0	638_nm
1	1	A1	12	0	405_nm
1	1	A1	12	0	488_nm
1	1	A1	12	0	561_nm
1	1	A1	12	0	638_nm
1	1	A1	13	0	405_nm
1	1	A1	13	0	488_nm
1	1	A1	13	0	561_nm
1	1	A1	13	0	638_nm
1	1	A1	14	0	405_nm
1	1	A1	14	0	488_nm
1	1	A1	14	0	561_nm
1	1	A1	14	0	638_nm
1	1	A1	15	0	405_nm
1	1	A1	15	0	488_nm
1	1	A1	15	0	561_nm
1	1	A1	15	0	638_nm
1	1	A1	16	0	405_nm
1	1	A1	16	0	488_nm
1	1	A1	16	0	561_nm
1	1	A1	16	0	638_nm
1	1	A1	17	0	405_nm
1	1	A1	17	0	488_nm
1	1	A1	17	0	561_nm
1	1	A1	17	0	638_nm
1	1	A1	18	0	405_nm
1	1	A1	18	0	488_nm
1	1	A1	18	0	561_nm
1	1	A1	18	0	638_nm
1	1	A1	19	0	405_nm
1	1	A1	19	0	488_nm
1	1	A1	19	0	561_nm
1	1	A1	19	0	638_nm
1	1	A1	20	0	405_nm
1	1	A1	20	0	488_nm
1	1	A1	20	0	561_nm
1	1	A1	20	0	638_nm
1	1	A1	21	0	405_nm
1	1	A1	21	0	488_nm
1	1	A1	21	0	561_nm
1	1	A1	21	0	638_nm
1	1	A1	22	0	405_nm
1	1	A1	22	0	488_nm
1	1	A1	22	0	561_nm
1	1	A1	22	0	638_nm
1	1	A1	23	0	405_nm
1	1	A1	23	0	488_nm
1	1	A1	23	0	561_nm
1	1	A1	23	0	638_nm
1	1	A1	24	0	405_nm
1	1	A1	24	0	488_nm
1	1	A1	24	0	561_nm
1	1	A1	24	0	638_nm
1	1	A1	25	0	405_nm
1	1	A1	25	0	488_nm
1	1	A1	25	0	561_nm
1	1	A1	25	0	638_nm
1	1	A1	26	0	405_nm
1	1	A1	26	0	488_nm
1	1	A1	26	0	561_nm
1	1	A1	26	0	638_nm
1	1	A1	27	0	405_nm
1	1	A1	27	0	488_nm
1	1	A1	27	0	561_nm
1	1	A1	27	0	638_nm
