plate	cycle	well	tile	z	channel
1	1	A1	0	0	405_nm_Ex
1	1	A1	0	0	561_nm_Ex_-_1
1	1	A1	0	0	561_nm_Ex_-_2
1	1	A1	0	0	638_nm_Ex_-_1
1	1	A1	0	0	638_nm_Ex_-_2
1	1	A1	1	0	405_nm_Ex
1	1	A1	1	0	561_nm_Ex_-_1
1	1	A1	1	0	561_nm_Ex_-_2
1	1	A1	1	0	638_nm_Ex_-_1
1	1	A1	1	0	638_nm_Ex_-_2
1	1	A1	2	0	405_nm_Ex
1	1	A1	2	0	561_nm_Ex_-_1
1	1	A1	2	0	561_nm_Ex_-_2
1	1	A1	2	0	638_nm_Ex_-_1
1	1	A1	2	0	638_nm_Ex_-_2
1	1	A1	3	0	405_nm_Ex
1	1	A1	3	0	561_nm_Ex_-_1
1	1	A1	3	0	561_nm_Ex_-_2
1	1	A1	3	0	638_nm_Ex_-_1
1	1	A1	3	0	638_nm_Ex_-_2
1	1	A1	4	0	405_nm_Ex
1	1	A1	4	0	561_nm_Ex_-_1
1	1	A1	4	0	561_nm_Ex_-_2
1	1	A1	4	0	638_nm_Ex_-_1
1	1	A1	4	0	638_nm_Ex_-_2
1	1	A1	5	0	405_nm_Ex
1	1	A1	5	0	561_nm_Ex_-_1
1	1	A1	5	0	561_nm_Ex_-_2
1	1	A1	5	0	638_nm_Ex_-_1
1	1	A1	5	0	638_nm_Ex_-_2
1	1	A1	6	0	405_nm_Ex
1	1	A1	6	0	561_nm_Ex_-_1
1	1	A1	6	0	561_nm_Ex_-_2
1	1	A1	6	0	638_nm_Ex_-_1
1	1	A1	6	0	638_nm_Ex_-_2
1	1	A1	7	0	405_nm_Ex
1	1	A1	7	0	561_nm_Ex_-_1
1	1	A1	7	0	561_nm_Ex_-_2
1	1	A1	7	0	638_nm_Ex_-_1
1	1	A1	7	0	638_nm_Ex_-_2
1	1	A1	8	0	405_nm_Ex
1	1	A1	8	0	561_nm_Ex_-_1
1	1	A1	8	0	561_nm_Ex_-_2
1	1	A1	8	0	638_nm_Ex_-_1
1	1	A1	8	0	638_nm_Ex_-_2
1	1	A1	9	0	405_nm_Ex
1	1	A1	9	0	561_nm_Ex_-_1
1	1	A1	9	0	561_nm_Ex_-_2
1	1	A1	9	0	638_nm_Ex_-_1
1	1	A1	9	0	638_nm_Ex_-_2
1	1	A1	10	0	405_nm_Ex
1	1	A1	10	0	561_nm_Ex_-_1
1	1	A1	10	0	561_nm_Ex_-_2
1	1	A1	10	0	638_nm_Ex_-_1
1	1	A1	10	0	638_nm_Ex_-_2
1	1	A1	11	0	405_nm_Ex
1	1	A1	11	0	561_nm_Ex_-_1
1	1	A1	11	0	561_nm_Ex_-_2
1	1	A1	11	0	638_nm_Ex_-_1
1	1	A1	11	0	638_nm_Ex_-_2
1	1	A1	12	0	405_nm_Ex
1	1	A1	12	0	561_nm_Ex_-_1
1	1	A1	12	0	561_nm_Ex_-_2
1	1	A1	12	0	638_nm_Ex_-_1
1	1	A1	12	0	638_nm_Ex_-_2
1	1	A1	13	0	405_nm_Ex
1	1	A1	13	0	561_nm_Ex_-_1
1	1	A1	13	0	561_nm_Ex_-_2
1	1	A1	13	0	638_nm_Ex_-_1
1	1	A1	13	0	638_nm_Ex_-_2
1	1	A1	14	0	405_nm_Ex
1	1	A1	14	0	561_nm_Ex_-_1
1	1	A1	14	0	561_nm_Ex_-_2
1	1	A1	14	0	638_nm_Ex_-_1
1	1	A1	14	0	638_nm_Ex_-_2
1	1	A1	15	0	405_nm_Ex
1	1	A1	15	0	561_nm_Ex_-_1
1	1	A1	15	0	561_nm_Ex_-_2
1	1	A1	15	0	638_nm_Ex_-_1
1	1	A1	15	0	638_nm_Ex_-_2
1	1	A1	16	0	405_nm_Ex
1	1	A1	16	0	561_nm_Ex_-_1
1	1	A1	16	0	561_nm_Ex_-_2
1	1	A1	16	0	638_nm_Ex_-_1
1	1	A1	16	0	638_nm_Ex_-_2
1	1	A1	17	0	405_nm_Ex
1	1	A1	17	0	561_nm_Ex_-_1
1	1	A1	17	0	561_nm_Ex_-_2
1	1	A1	17	0	638_nm_Ex_-_1
1	1	A1	17	0	638_nm_Ex_-_2
1	1	A1	18	0	405_nm_Ex
1	1	A1	18	0	561_nm_Ex_-_1
1	1	A1	18	0	561_nm_Ex_-_2
1	1	A1	18	0	638_nm_Ex_-_1
1	1	A1	18	0	638_nm_Ex_-_2
1	1	A1	19	0	405_nm_Ex
1	1	A1	19	0	561_nm_Ex_-_1
1	1	A1	19	0	561_nm_Ex_-_2
1	1	A1	19	0	638_nm_Ex_-_1
1	1	A1	19	0	638_nm_Ex_-_2
1	1	A1	20	0	405_nm_Ex
1	1	A1	20	0	561_nm_Ex_-_1
1	1	A1	20	0	561_nm_Ex_-_2
1	1	A1	20	0	638_nm_Ex_-_1
1	1	A1	20	0	638_nm_Ex_-_2
1	1	A1	21	0	405_nm_Ex
1	1	A1	21	0	561_nm_Ex_-_1
1	1	A1	21	0	561_nm_Ex_-_2
1	1	A1	21	0	638_nm_Ex_-_1
1	1	A1	21	0	638_nm_Ex_-_2
1	1	A1	22	0	405_nm_Ex
1	1	A1	22	0	561_nm_Ex_-_1
1	1	A1	22	0	561_nm_Ex_-_2
1	1	A1	22	0	638_nm_Ex_-_1
1	1	A1	22	0	638_nm_Ex_-_2
1	1	A1	23	0	405_nm_Ex
1	1	A1	23	0	561_nm_Ex_-_1
1	1	A1	23	0	561_nm_Ex_-_2
1	1	A1	23	0	638_nm_Ex_-_1
1	1	A1	23	0	638_nm_Ex_-_2
1	1	A1	24	0	405_nm_Ex
1	1	A1	24	0	561_nm_Ex_-_1
1	1	A1	24	0	561_nm_Ex_-_2
1	1	A1	24	0	638_nm_Ex_-_1
1	1	A1	24	0	638_nm_Ex_-_2
1	1	A1	25	0	405_nm_Ex
1	1	A1	25	0	561_nm_Ex_-_1
1	1	A1	25	0	561_nm_Ex_-_2
1	1	A1	25	0	638_nm_Ex_-_1
1	1	A1	25	0	638_nm_Ex_-_2
1	1	A1	26	0	405_nm_Ex
1	1	A1	26	0	561_nm_Ex_-_1
1	1	A1	26	0	561_nm_Ex_-_2
1	1	A1	26	0	638_nm_Ex_-_1
1	1	A1	26	0	638_nm_Ex_-_2
1	1	A1	27	0	405_nm_Ex
1	1	A1	27	0	561_nm_Ex_-_1
1	1	A1	27	0	561_nm_Ex_-_2
1	1	A1	27	0	638_nm_Ex_-_1
1	1	A1	27	0	638_nm_Ex_-_2
1	1	A1	28	0	405_nm_Ex
1	1	A1	28	0	561_nm_Ex_-_1
1	1	A1	28	0	561_nm_Ex_-_2
1	1	A1	28	0	638_nm_Ex_-_1
1	1	A1	28	0	638_nm_Ex_-_2
1	1	A1	29	0	405_nm_Ex
1	1	A1	29	0	561_nm_Ex_-_1
1	1	A1	29	0	561_nm_Ex_-_2
1	1	A1	29	0	638_nm_Ex_-_1
1	1	A1	29	0	638_nm_Ex_-_2
1	1	A1	30	0	405_nm_Ex
1	1	A1	30	0	561_nm_Ex_-_1
1	1	A1	30	0	561_nm_Ex_-_2
1	1	A1	30	0	638_nm_Ex_-_1
1	1	A1	30	0	638_nm_Ex_-_2
1	1	A1	31	0	405_nm_Ex
1	1	A1	31	0	561_nm_Ex_-_1
1	1	A1	31	0	561_nm_Ex_-_2
1	1	A1	31	0	638_nm_Ex_-_1
1	1	A1	31	0	638_nm_Ex_-_2
1	1	A1	32	0	405_nm_Ex
1	1	A1	32	0	561_nm_Ex_-_1
1	1	A1	32	0	561_nm_Ex_-_2
1	1	A1	32	0	638_nm_Ex_-_1
1	1	A1	32	0	638_nm_Ex_-_2
1	1	A1	33	0	405_nm_Ex
1	1	A1	33	0	561_nm_Ex_-_1
1	1	A1	33	0	561_nm_Ex_-_2
1	1	A1	33	0	638_nm_Ex_-_1
1	1	A1	33	0	638_nm_Ex_-_2
1	1	A1	34	0	405_nm_Ex
1	1	A1	34	0	561_nm_Ex_-_1
1	1	A1	34	0	561_nm_Ex_-_2
1	1	A1	34	0	638_nm_Ex_-_1
1	1	A1	34	0	638_nm_Ex_-_2
1	1	A1	35	0	405_nm_Ex
1	1	A1	35	0	561_nm_Ex_-_1
1	1	A1	35	0	561_nm_Ex_-_2
1	1	A1	35	0	638_nm_Ex_-_1
1	1	A1	35	0	638_nm_Ex_-_2
1	1	A1	36	0	405_nm_Ex
1	1	A1	36	0	561_nm_Ex_-_1
1	1	A1	36	0	561_nm_Ex_-_2
1	1	A1	36	0	638_nm_Ex_-_1
1	1	A1	36	0	638_nm_Ex_-_2
1	1	A1	37	0	405_nm_Ex
1	1	A1	37	0	561_nm_Ex_-_1
1	1	A1	37	0	561_nm_Ex_-_2
1	1	A1	37	0	638_nm_Ex_-_1
1	1	A1	37	0	638_nm_Ex_-_2
1	1	A1	38	0	405_nm_Ex
1	1	A1	38	0	561_nm_Ex_-_1
1	1	A1	38	0	561_nm_Ex_-_2
1	1	A1	38	0	638_nm_Ex_-_1
1	1	A1	38	0	638_nm_Ex_-_2
1	1	A1	39	0	405_nm_Ex
1	1	A1	39	0	561_nm_Ex_-_1
1	1	A1	39	0	561_nm_Ex_-_2
1	1	A1	39	0	638_nm_Ex_-_1
1	1	A1	39	0	638_nm_Ex_-_2
1	1	A1	40	0	405_nm_Ex
1	1	A1	40	0	561_nm_Ex_-_1
1	1	A1	40	0	561_nm_Ex_-_2
1	1	A1	40	0	638_nm_Ex_-_1
1	1	A1	40	0	638_nm_Ex_-_2
1	1	A1	41	0	405_nm_Ex
1	1	A1	41	0	561_nm_Ex_-_1
1	1	A1	41	0	561_nm_Ex_-_2
1	1	A1	41	0	638_nm_Ex_-_1
1	1	A1	41	0	638_nm_Ex_-_2
1	1	A1	42	0	405_nm_Ex
1	1	A1	42	0	561_nm_Ex_-_1
1	1	A1	42	0	561_nm_Ex_-_2
1	1	A1	42	0	638_nm_Ex_-_1
1	1	A1	42	0	638_nm_Ex_-_2
1	1	A1	43	0	405_nm_Ex
1	1	A1	43	0	561_nm_Ex_-_1
1	1	A1	43	0	561_nm_Ex_-_2
1	1	A1	43	0	638_nm_Ex_-_1
1	1	A1	43	0	638_nm_Ex_-_2
1	1	A1	44	0	405_nm_Ex
1	1	A1	44	0	561_nm_Ex_-_1
1	1	A1	44	0	561_nm_Ex_-_2
1	1	A1	44	0	638_nm_Ex_-_1
1	1	A1	44	0	638_nm_Ex_-_2
1	1	A1	45	0	405_nm_Ex
1	1	A1	45	0	561_nm_Ex_-_1
1	1	A1	45	0	561_nm_Ex_-_2
1	1	A1	45	0	638_nm_Ex_-_1
1	1	A1	45	0	638_nm_Ex_-_2
1	1	A1	46	0	405_nm_Ex
1	1	A1	46	0	561_nm_Ex_-_1
1	1	A1	46	0	561_nm_Ex_-_2
1	1	A1	46	0	638_nm_Ex_-_1
1	1	A1	46	0	638_nm_Ex_-_2
1	1	A1	47	0	405_nm_Ex
1	1	A1	47	0	561_nm_Ex_-_1
1	1	A1	47	0	561_nm_Ex_-_2
1	1	A1	47	0	638_nm_Ex_-_1
1	1	A1	47	0	638_nm_Ex_-_2
1	1	A1	48	0	405_nm_Ex
1	1	A1	48	0	561_nm_Ex_-_1
1	1	A1	48	0	561_nm_Ex_-_2
1	1	A1	48	0	638_nm_Ex_-_1
1	1	A1	48	0	638_nm_Ex_-_2
1	1	A1	49	0	405_nm_Ex
1	1	A1	49	0	561_nm_Ex_-_1
1	1	A1	49	0	561_nm_Ex_-_2
1	1	A1	49	0	638_nm_Ex_-_1
1	1	A1	49	0	638_nm_Ex_-_2
1	1	A1	50	0	405_nm_Ex
1	1	A1	50	0	561_nm_Ex_-_1
1	1	A1	50	0	561_nm_Ex_-_2
1	1	A1	50	0	638_nm_Ex_-_1
1	1	A1	50	0	638_nm_Ex_-_2
1	1	A1	51	0	405_nm_Ex
1	1	A1	51	0	561_nm_Ex_-_1
1	1	A1	51	0	561_nm_Ex_-_2
1	1	A1	51	0	638_nm_Ex_-_1
1	1	A1	51	0	638_nm_Ex_-_2
1	1	A1	52	0	405_nm_Ex
1	1	A1	52	0	561_nm_Ex_-_1
1	1	A1	52	0	561_nm_Ex_-_2
1	1	A1	52	0	638_nm_Ex_-_1
1	1	A1	52	0	638_nm_Ex_-_2
1	1	A1	53	0	405_nm_Ex
1	1	A1	53	0	561_nm_Ex_-_1
1	1	A1	53	0	561_nm_Ex_-_2
1	1	A1	53	0	638_nm_Ex_-_1
1	1	A1	53	0	638_nm_Ex_-_2
1	1	A1	54	0	405_nm_Ex
1	1	A1	54	0	561_nm_Ex_-_1
1	1	A1	54	0	561_nm_Ex_-_2
1	1	A1	54	0	638_nm_Ex_-_1
1	1	A1	54	0	638_nm_Ex_-_2
1	1	A1	55	0	405_nm_Ex
1	1	A1	55	0	561_nm_Ex_-_1
1	1	A1	55	0	561_nm_Ex_-_2
1	1	A1	55	0	638_nm_Ex_-_1
1	1	A1	55	0	638_nm_Ex_-_2
1	1	A1	56	0	405_nm_Ex
